match_id,date,home_team,away_team,city,stage,model_home_prob,model_draw_prob,model_away_prob,market_home_prob,market_draw_prob,market_away_prob,model_pick,best_value,best_edge,signal,weak_schedule_match,stake,side_bet,entry_price,actual_outcome,model_pick_hit,best_value_hit,pnl,clv
40,2026-06-21 21:00:00-07,New Zealand,Egypt,Vancouver,Group Stage,18.34%,27.42%,54.24%,20.00%,25.00%,55.00%,Egypt,Draw,2.42%,PASS,,,,,,,,,
41,2026-06-22 13:00:00-05,Argentina,Austria,Dallas,Group Stage,56.84%,24.03%,19.13%,59.41%,24.75%,15.84%,Argentina,Austria,3.29%,WATCH,,,,,,,,,
42,2026-06-22 17:00:00-04,France,Iraq,Philadelphia,Group Stage,77.09%,20.49%,2.42%,85.29%,10.78%,3.92%,France,Draw,9.71%,REVIEW,FLAG,,,,,,,,
43,2026-06-22 20:00:00-04,Norway,Senegal,New York/New Jersey,Group Stage,50.98%,29.52%,19.50%,46.08%,26.47%,27.45%,Norway,Norway,4.90%,WATCH,FLAG,,,,,,,,
44,2026-06-22 23:00:00-07,Jordan,Algeria,San Francisco Bay Area,Group Stage,27.64%,28.23%,44.13%,14.00%,23.00%,63.00%,Algeria,Jordan,13.64%,STRONG PLAY,,,,,,,,,
45,2026-06-23 13:00:00-05,Portugal,Uzbekistan,Houston,Group Stage,62.71%,25.11%,12.18%,78.22%,13.86%,7.92%,Portugal,Draw,11.25%,REVIEW,FLAG,,,,,,,,
46,2026-06-23 16:00:00-04,England,Ghana,Boston,Group Stage,75.37%,20.94%,3.69%,74.75%,16.16%,9.09%,England,Draw,4.78%,WATCH,FLAG,,,,,,,,
47,2026-06-23 19:00:00-04,Panama,Croatia,Toronto,Group Stage,16.33%,25.95%,57.72%,12.75%,23.53%,63.73%,Croatia,Panama,3.59%,WATCH,,,,,,,,,
48,2026-06-23 22:00:00-06,Colombia,DR Congo,Guadalajara,Group Stage,62.94%,24.03%,13.03%,66.00%,22.00%,12.00%,Colombia,Draw,2.03%,PASS,FLAG,,,,,,,,
49,2026-06-24 15:00:00-07,Switzerland,Canada,Vancouver,Group Stage,50.54%,27.27%,22.19%,48.48%,23.23%,28.28%,Switzerland,Draw,4.04%,WATCH,,,,,,,,,
50,2026-06-24 15:00:00-07,Bosnia and Herzegovina,Qatar,Seattle,Group Stage,48.11%,29.73%,22.16%,62.38%,18.81%,18.81%,Bosnia and Herzegovina,Draw,10.92%,STRONG PLAY,FLAG,,,,,,,,
51,2026-06-24 18:00:00-04,Scotland,Brazil,Miami,Group Stage,24.12%,24.24%,51.64%,72.28%,17.82%,9.90%,Brazil,Brazil,41.74%,REVIEW,,,,,,,,,
52,2026-06-24 18:00:00-04,Morocco,Haiti,Atlanta,Group Stage,71.19%,21.54%,7.27%,15.15%,22.22%,62.63%,Morocco,Morocco,56.04%,REVIEW,FLAG,,,,,,,,
53,2026-06-24 21:00:00-06,Czechia,Mexico,Mexico City,Group Stage,16.22%,27.60%,56.18%,22.77%,27.72%,49.50%,Mexico,Mexico,6.68%,PLAY,,,,,,,,,
54,2026-06-24 21:00:00-06,South Africa,South Korea,Monterrey,Group Stage,17.27%,26.91%,55.82%,19.19%,26.26%,54.55%,South Korea,South Korea,1.27%,PASS,,,,,,,,,
55,2026-06-25 16:00:00-04,Curaçao,Côte d'Ivoire,Philadelphia,Group Stage,5.30%,23.07%,71.63%,19.80%,24.75%,55.45%,Côte d'Ivoire,Côte d'Ivoire,16.18%,REVIEW,,,,,,,,,
56,2026-06-25 16:00:00-04,Ecuador,Germany,New York/New Jersey,Group Stage,9.92%,28.65%,61.43%,6.86%,14.71%,78.43%,Germany,Draw,13.94%,REVIEW,,,,,,,,,
57,2026-06-25 19:00:00-05,Japan,Sweden,Dallas,Group Stage,63.84%,26.10%,10.06%,13.86%,20.79%,65.35%,Japan,Japan,49.98%,REVIEW,FLAG,,,,,,,,
58,2026-06-25 19:00:00-05,Tunisia,Netherlands,Kansas City,Group Stage,8.74%,24.30%,66.96%,46.53%,27.72%,25.74%,Netherlands,Netherlands,41.22%,REVIEW,FLAG,,,,,,,,
59,2026-06-25 22:00:00-07,Turkey,USA,Los Angeles,Group Stage,44.09%,28.89%,27.02%,44.00%,30.00%,26.00%,Turkey,USA,1.02%,PASS,,,,,,,,,
60,2026-06-25 22:00:00-07,Paraguay,Australia,San Francisco Bay Area,Group Stage,19.37%,29.13%,51.50%,34.65%,27.72%,37.62%,Australia,Australia,13.88%,STRONG PLAY,FLAG,,,,,,,,
61,2026-06-26 15:00:00-04,Norway,France,Boston,Group Stage,17.46%,24.45%,58.09%,21.57%,25.49%,52.94%,France,France,5.15%,WATCH,,,,,,,,,
62,2026-06-26 15:00:00-04,Senegal,Iraq,Toronto,Group Stage,58.50%,25.56%,15.94%,66.67%,20.59%,12.75%,Senegal,Draw,4.97%,WATCH,,,,,,,,,
63,2026-06-26 20:00:00-05,Cabo Verde,Saudi Arabia,Houston,Group Stage,28.79%,30.00%,41.21%,16.83%,23.76%,59.41%,Saudi Arabia,Cabo Verde,11.96%,STRONG PLAY,,,,,,,,,
64,2026-06-26 20:00:00-06,Uruguay,Spain,Guadalajara,Group Stage,7.61%,25.44%,66.95%,36.00%,29.00%,35.00%,Spain,Spain,31.95%,REVIEW,,,,,,,,,
65,2026-06-26 23:00:00-07,Egypt,IR Iran,Seattle,Group Stage,31.05%,27.96%,40.99%,8.91%,15.84%,75.25%,IR Iran,Egypt,22.14%,REVIEW,,,,,,,,,
66,2026-06-26 23:00:00-07,New Zealand,Belgium,Vancouver,Group Stage,3.26%,23.13%,73.61%,42.00%,32.00%,26.00%,Belgium,Belgium,47.61%,REVIEW,FLAG,,,,,,,,
67,2026-06-27 17:00:00-04,Panama,England,New York/New Jersey,Group Stage,8.73%,23.49%,67.78%,10.00%,14.00%,76.00%,England,Draw,9.49%,REVIEW,,,,,,,,,
68,2026-06-27 17:00:00-04,Croatia,Ghana,Philadelphia,Group Stage,69.17%,23.40%,7.43%,58.42%,24.75%,16.83%,Croatia,Croatia,10.75%,STRONG PLAY,FLAG,,,,,,,,
69,2026-06-27 19:30:00-04,Colombia,Portugal,Miami,Group Stage,25.96%,29.61%,44.43%,27.00%,26.00%,47.00%,Portugal,Draw,3.61%,WATCH,,,,,,,,,
70,2026-06-27 19:30:00-04,DR Congo,Uzbekistan,Atlanta,Group Stage,27.14%,29.31%,43.55%,41.58%,28.71%,29.70%,Uzbekistan,Uzbekistan,13.85%,STRONG PLAY,,,,,,,,,
71,2026-06-27 22:00:00-05,Algeria,Austria,Kansas City,Group Stage,29.07%,29.04%,41.89%,6.93%,11.88%,81.19%,Austria,Algeria,22.14%,REVIEW,FLAG,,,,,,,,
72,2026-06-27 22:00:00-05,Jordan,Argentina,Dallas,Group Stage,10.04%,21.30%,68.66%,28.43%,30.39%,41.18%,Argentina,Argentina,27.48%,REVIEW,FLAG,,,,,,,,
73,2026-06-28 15:00:00-07,,,Los Angeles,Round of 32,#N/A,#N/A,#N/A,,,,#N/A,#N/A,0.00%,#N/A,,,,,,,,,
74,2026-06-29 13:00:00-05,,,Houston,Round of 32,#N/A,#N/A,#N/A,,,,#N/A,#N/A,0.00%,#N/A,,,,,,,,,
75,2026-06-29 16:30:00-04,,,Boston,Round of 32,#N/A,#N/A,#N/A,,,,#N/A,#N/A,0.00%,#N/A,,,,,,,,,
76,2026-06-29 21:00:00-06,,,Monterrey,Round of 32,#N/A,#N/A,#N/A,,,,#N/A,#N/A,0.00%,#N/A,,,,,,,,,
77,2026-06-30 13:00:00-05,,,Dallas,Round of 32,#N/A,#N/A,#N/A,,,,#N/A,#N/A,0.00%,#N/A,,,,,,,,,
78,2026-06-30 17:00:00-04,,,New York/New Jersey,Round of 32,#N/A,#N/A,#N/A,,,,#N/A,#N/A,0.00%,#N/A,,,,,,,,,
79,2026-06-30 21:00:00-06,,,Mexico City,Round of 32,#N/A,#N/A,#N/A,,,,#N/A,#N/A,0.00%,#N/A,,,,,,,,,
80,2026-07-01 12:00:00-04,,,Atlanta,Round of 32,#N/A,#N/A,#N/A,,,,#N/A,#N/A,0.00%,#N/A,,,,,,,,,
81,2026-07-01 16:00:00-07,,,Seattle,Round of 32,#N/A,#N/A,#N/A,,,,#N/A,#N/A,0.00%,#N/A,,,,,,,,,
82,2026-07-01 20:00:00-07,,,San Francisco Bay Area,Round of 32,#N/A,#N/A,#N/A,,,,#N/A,#N/A,0.00%,#N/A,,,,,,,,,
83,2026-07-02 15:00:00-07,,,Los Angeles,Round of 32,#N/A,#N/A,#N/A,,,,#N/A,#N/A,0.00%,#N/A,,,,,,,,,
84,2026-07-02 19:00:00-04,,,Toronto,Round of 32,#N/A,#N/A,#N/A,,,,#N/A,#N/A,0.00%,#N/A,,,,,,,,,
85,2026-07-02 23:00:00-07,,,Vancouver,Round of 32,#N/A,#N/A,#N/A,,,,#N/A,#N/A,0.00%,#N/A,,,,,,,,,
86,2026-07-03 14:00:00-05,,,Dallas,Round of 32,#N/A,#N/A,#N/A,,,,#N/A,#N/A,0.00%,#N/A,,,,,,,,,
87,2026-07-03 18:00:00-04,,,Miami,Round of 32,#N/A,#N/A,#N/A,,,,#N/A,#N/A,0.00%,#N/A,,,,,,,,,
88,2026-07-03 21:30:00-05,,,Kansas City,Round of 32,#N/A,#N/A,#N/A,,,,#N/A,#N/A,0.00%,#N/A,,,,,,,,,
89,2026-07-04 13:00:00-05,,,Houston,Round of 16,#N/A,#N/A,#N/A,,,,#N/A,#N/A,0.00%,#N/A,,,,,,,,,
90,2026-07-04 17:00:00-04,,,Philadelphia,Round of 16,#N/A,#N/A,#N/A,,,,#N/A,#N/A,0.00%,#N/A,,,,,,,,,
91,2026-07-05 16:00:00-04,,,New York/New Jersey,Round of 16,#N/A,#N/A,#N/A,,,,#N/A,#N/A,0.00%,#N/A,,,,,,,,,
92,2026-07-05 20:00:00-06,,,Mexico City,Round of 16,#N/A,#N/A,#N/A,,,,#N/A,#N/A,0.00%,#N/A,,,,,,,,,
93,2026-07-06 15:00:00-05,,,Dallas,Round of 16,#N/A,#N/A,#N/A,,,,#N/A,#N/A,0.00%,#N/A,,,,,,,,,
94,2026-07-06 20:00:00-07,,,Seattle,Round of 16,#N/A,#N/A,#N/A,,,,#N/A,#N/A,0.00%,#N/A,,,,,,,,,
95,2026-07-07 12:00:00-04,,,Atlanta,Round of 16,#N/A,#N/A,#N/A,,,,#N/A,#N/A,0.00%,#N/A,,,,,,,,,
96,2026-07-07 16:00:00-07,,,Vancouver,Round of 16,#N/A,#N/A,#N/A,,,,#N/A,#N/A,0.00%,#N/A,,,,,,,,,
97,2026-07-09 16:00:00-04,,,Boston,Quarterfinals,#N/A,#N/A,#N/A,,,,#N/A,#N/A,0.00%,#N/A,,,,,,,,,
98,2026-07-10 15:00:00-07,,,Los Angeles,Quarterfinals,#N/A,#N/A,#N/A,,,,#N/A,#N/A,0.00%,#N/A,,,,,,,,,
99,2026-07-11 17:00:00-04,,,Miami,Quarterfinals,#N/A,#N/A,#N/A,,,,#N/A,#N/A,0.00%,#N/A,,,,,,,,,
100,2026-07-11 21:00:00-05,,,Kansas City,Quarterfinals,#N/A,#N/A,#N/A,,,,#N/A,#N/A,0.00%,#N/A,,,,,,,,,
101,2026-07-14 15:00:00-05,,,Dallas,Semifinals,#N/A,#N/A,#N/A,,,,#N/A,#N/A,0.00%,#N/A,,,,,,,,,
102,2026-07-15 15:00:00-04,,,Atlanta,Semifinals,#N/A,#N/A,#N/A,,,,#N/A,#N/A,0.00%,#N/A,,,,,,,,,
103,2026-07-18 17:00:00-04,,,Miami,Third Place Playoff,#N/A,#N/A,#N/A,,,,#N/A,#N/A,0.00%,#N/A,,,,,,,,,
104,2026-07-19 15:00:00-04,,,New York/New Jersey,Final,#N/A,#N/A,#N/A,,,,#N/A,#N/A,0.00%,#N/A,,,,,,,,,
