match_id,match_number,home_team,away_team,city,stage,home_team_elo,away_team_elo,elo_diff,home_gd_last5,away_gd_last5,gd_last5_diff,home_xg_diff,away_xg_diff,xg_diff_diff,home_form_pts,away_form_pts,form_diff,raw_score,home_strength,draw_prob,home_win_prob,away_win_prob,pick,market_home,market_draw,market_away,edge_home,edge_draw,edge_away,best_edge,best_value,signal,review_flag
55,55,Curaçao,Côte d'Ivoire,Philadelphia,Group Stage,49.5,72.6,-23.1,-3,1,-4,0.37,0.99,-0.62,5,10,-5,-2.603,0.07,23.07%,5.30%,71.63%,Côte d'Ivoire,0.198019802,0.2475247525,0.5544554455,-14.50%,-1.68%,16.18%,16.18%,Côte d'Ivoire,STRONG PLAY,CHECK INPUTS
56,56,Ecuador,Germany,New York/New Jersey,Group Stage,85.1,89.6,-4.5,0.5,4,-3.5,0.18,1.29,-1.11,7,15,-8,-1.8235,0.14,28.65%,9.92%,61.43%,Germany,0.06862745098,0.1470588235,0.7843137255,3.06%,13.94%,-17.00%,13.94%,Draw,STRONG PLAY,
57,57,Japan,Sweden,Dallas,Group Stage,84.3,71.3,13,2.5,1.5,1,1.02,-0.23,1.25,13,7,6,1.8475,0.86,26.10%,63.84%,10.06%,Japan,0.1386138614,0.2079207921,0.6534653465,49.98%,5.31%,-55.28%,49.98%,Japan,STRONG PLAY,CHECK INPUTS
58,58,Tunisia,Netherlands,Kansas City,Group Stage,70.6,89.6,-19,0,2,-2,0.76,1.32,-0.56,8,13,-5,-2.036,0.12,24.30%,8.74%,66.96%,Netherlands,0.4653465347,0.2772277228,0.2574257426,-37.79%,-3.42%,41.22%,41.22%,Netherlands,STRONG PLAY,CHECK INPUTS
59,59,Turkey,USA,Los Angeles,Group Stage,81.8,78.1,3.7,1,0,1,0.11,0.46,-0.35,13,10,3,0.4895,0.62,28.89%,44.09%,27.02%,Turkey,0.44,0.3,0.26,0.09%,-1.11%,1.02%,1.02%,USA,PASS,
60,60,Paraguay,Australia,San Francisco Bay Area,Group Stage,75.3,78.2,-2.9,0.5,2.5,-2,-0.02,-0.18,0.16,8,15,-7,-0.978,0.27,29.13%,19.37%,51.50%,Australia,0.3465346535,0.2772277228,0.3762376238,-15.29%,1.41%,13.88%,13.88%,Australia,STRONG PLAY,
61,61,Norway,France,Boston,Group Stage,80.1,98.6,-18.5,3,3,0,1.34,2.06,-0.72,15,13,2,-1.202,0.23,24.45%,17.46%,58.09%,France,0.2156862745,0.2549019608,0.5294117647,-4.11%,-1.04%,5.15%,5.15%,France,WATCH,
62,62,Senegal,Iraq,Toronto,Group Stage,81.7,66.9,14.8,-1,0,-1,0.72,-0.2,0.92,12,9,3,1.3,0.79,25.56%,58.50%,15.94%,Senegal,0.6666666667,0.2058823529,0.1274509804,-8.17%,4.97%,3.20%,4.97%,Draw,WATCH,
63,63,Cabo Verde,Saudi Arabia,Houston,Group Stage,64,64,0,-1,0,-1,0.55,0.46,0.09,6,9,-3,-0.3585,0.41,30.00%,28.79%,41.21%,Saudi Arabia,0.1683168317,0.2376237624,0.5940594059,11.96%,6.24%,-18.20%,11.96%,Cabo Verde,PLAY,
64,64,Uruguay,Spain,Guadalajara,Group Stage,84.8,100,-15.2,1.5,2,-0.5,-0.22,2.03,-2.25,8,13,-5,-2.1745,0.10,25.44%,7.61%,66.95%,Spain,0.36,0.29,0.35,-28.39%,-3.56%,31.95%,31.95%,Spain,STRONG PLAY,CHECK INPUTS
65,65,Egypt,IR Iran,Seattle,Group Stage,72.2,79,-6.8,-0.5,0,-0.5,0.91,0.78,0.13,8,6,2,-0.2775,0.43,27.96%,31.05%,40.99%,IR Iran,0.08910891089,0.1584158416,0.7524752475,22.14%,12.12%,-34.26%,22.14%,Egypt,STRONG PLAY,CHECK INPUTS
66,66,New Zealand,Belgium,Vancouver,Group Stage,63.6,86.5,-22.9,0.5,3.5,-3,0,1.87,-1.87,3,11,-8,-3.1185,0.04,23.13%,3.26%,73.61%,Belgium,0.42,0.32,0.26,-38.74%,-8.87%,47.61%,47.61%,Belgium,STRONG PLAY,CHECK INPUTS
67,67,Panama,England,New York/New Jersey,Group Stage,71.4,93.1,-21.7,2,2,0,0.73,1.95,-1.22,11,15,-4,-2.049,0.11,23.49%,8.73%,67.78%,England,0.1,0.14,0.76,-1.27%,9.49%,-8.22%,9.49%,Draw,PLAY,
68,68,Croatia,Ghana,Philadelphia,Group Stage,84.9,62.9,22,1.5,-0.5,2,1.78,0.72,1.06,13,10,3,2.231,0.90,23.40%,69.17%,7.43%,Croatia,0.5841584158,0.2475247525,0.1683168317,10.75%,-1.35%,-9.40%,10.75%,Croatia,PLAY,
69,69,Colombia,Portugal,Miami,Group Stage,90.7,89.4,1.3,3,3,0,0.42,1.95,-1.53,9,10,-1,-0.5375,0.37,29.61%,25.96%,44.43%,Portugal,0.27,0.26,0.47,-1.04%,3.61%,-2.57%,3.61%,Draw,PASS,
70,70,DR Congo,Uzbekistan,Atlanta,Group Stage,70.8,73.1,-2.3,0,1,-1,0.39,0.69,-0.3,10,11,-1,-0.473,0.38,29.31%,27.14%,43.55%,Uzbekistan,0.4158415842,0.2871287129,0.297029703,-14.45%,0.60%,13.85%,13.85%,Uzbekistan,STRONG PLAY,
71,71,Algeria,Austria,Kansas City,Group Stage,75.4,78.6,-3.2,-0.5,1,-1.5,0.52,0.83,-0.31,12,10,2,-0.3655,0.41,29.04%,29.07%,41.89%,Austria,0.06930693069,0.1188118812,0.8118811881,22.14%,17.16%,-39.30%,22.14%,Algeria,STRONG PLAY,CHECK INPUTS
72,72,Jordan,Argentina,Dallas,Group Stage,69.5,98.5,-29,0,1,-1,-0.02,0.53,-0.55,12,10,2,-1.9225,0.13,21.30%,10.04%,68.66%,Argentina,0.2843137255,0.3039215686,0.4117647059,-18.39%,-9.09%,27.48%,27.48%,Argentina,STRONG PLAY,CHECK INPUTS
