match_id,home_team,away_team,stadium,elo_delta,home_xg_for,away_xg_for,home_xg_against,away_xg_against,home_exp_goals,away_exp_goals,total_exp_goals,home_tactical_score,away_tactical_score,match_tactical_modifier,venue_tier,home_climate_mod,away_climate_mod,situational_modifier,home_adj_xg,away_adj_xg,adjusted_total_exp_goals,match_ou_line,under_prob,over_prob,market_over,market_under,edge_over,edge_under,ou_best_edge,ou_best_value,ou_signal,ou_review_flag
29,USA,Australia,Lumen Field,0.1,1.3137,0.8352,1.172536207,1.273209655,1.297503862,0.9701344828,2.267638345,0.132,0.088,0.11,mild,0,0.05,0.11,1.468774372,1.108281633,2.860532166,2.5,60.46%,39.54%,47.12%,52.88%,-7.58%,7.58%,7.58%,Under 2.5,PLAY,
30,Scotland,Morocco,Gillette Stadium,12.3,1.32,1.7568,1.66,0.621325,1.04053,1.71808,2.75861,0.132,-0.078,0.027,moderate,-0.08,0,-0.053,1.083649563,1.58406976,2.526330199,2.5,47.94%,52.06%,42.31%,57.69%,9.75%,-9.75%,9.75%,Over 2.5,PLAY,
31,Brazil,Haiti,Lincoln Financial Field,35.1,1.1176,1.1571,1.058183636,1.193854023,1.148101609,1.117533455,2.265635064,0.07,-0.12,-0.025,moderate,0.05,-0.1,-0.105,1.289892158,0.885086496,1.946605895,3.5,80.63%,19.37%,51.82%,48.18%,-32.45%,32.45%,32.45%,Under 3.5,REVIEW,CHECK INPUTS
32,Turkey,Paraguay,Levi's Stadium,6.5,1.51,0.9152,1.4,1.168842727,1.373537091,1.10912,2.482657091,0.002,0.002,0.002,mild,0,0.05,0.002,1.376284165,1.166905152,2.548275696,2.5,54.83%,45.17%,40.20%,59.80%,4.98%,-4.98%,4.98%,Over 2.5,WATCH,
33,Netherlands,Sweden,NRG Stadium,18.3,2.07,1.18,0.75,1.41,1.806,1.008,2.814,0.07,0.068,0.069,extreme,0,-0.08,-0.131,1.93242,0.99042048,2.539948377,2.5,46.61%,53.39%,50.00%,50.00%,3.39%,-3.39%,3.39%,Over 2.5,WATCH,
34,Germany,Côte d'Ivoire,BMO Field,17,2.01,1.4496,0.72,0.53573,1.420292,1.15776,2.578052,0.162,0.068,0.115,mild,-0.08,0.05,0.115,1.51834896,1.298312064,3.140577041,2.5,52.40%,47.60%,52.94%,47.06%,-5.34%,5.34%,5.34%,Under 2.5,WATCH,
35,Ecuador,South Africa,Arrowhead Stadium,19,1.0208,1.3728,1.093724545,0.5754233333,0.8426493333,1.261169818,2.103819152,0.088,0.002,0.045,moderate,0,0,-0.035,0.9168024747,1.263692158,2.10417732,2.5,64.86%,35.14%,56.73%,43.27%,-21.59%,21.59%,21.59%,Under 2.5,REVIEW,CHECK INPUTS
36,Tunisia,Japan,Estadio BBVA,13.7,1.632,1.4094,0.9676516667,0.6755793103,1.249431724,1.232700667,2.482132391,-0.078,0.138,0.03,extreme,0,0,-0.17,1.15197605,1.402813359,2.120475209,2.5,54.84%,45.16%,,,,,0.00%,Under 2.5,PASS,
37,Spain,Saudi Arabia,Mercedes-Benz Stadium,36,2.74,1.3224,0.71,1.161370115,2.108548046,1.07744,3.185988046,0.062,-0.132,-0.035,high,0,-0.1,-0.185,2.239278025,0.841696128,2.510993935,2.5,38.28%,61.72%,,,,,0.00%,Under 2.5,PASS,
38,Belgium,IR Iran,SoFi Stadium,7.5,2.57,1.6443,0.7,1.241031034,2.038412414,1.26658,3.304992414,0.12,-0.132,-0.006,mild,0,0,-0.006,2.283021903,1.09939144,3.362118863,2.5,35.84%,64.16%,,,,,0.00%,Over 2.5,PASS,
