match_id,match_number,home_team,away_team,city,stage,home_team_elo,away_team_elo,elo_diff,home_gd_last5,away_gd_last5,gd_last5_diff,home_xg_diff,away_xg_diff,xg_diff_diff,home_form_pts,away_form_pts,form_diff,home_climate,away_climate,venue_tier,home_alt_origin,away_alt_origin,home_f8_pen,away_f8_pen,f8_score,home_tactic_primary,away_tactic_primary,f10_raw_score,home_tactic_secondary,away_tactic_secondary,f10_score,home_strength,market_home,market_draw,market_away,edge_home,edge_draw,edge_away,best_edge,best_value,signal,review_flag,raw_score,home_win_prob,draw_prob,away_win_prob,pick
31,31,Brazil,Haiti,Philadelphia,Group Stage,92.2,57.1,35.1,-1,1.5,-2.5,0.33,0.23,0.1,7,10,-3,762.00,29.00,moderate,positional_play,low_block_counter,0.00,0.00,0.00,wing_play_heavy,,0.00,NO,NO,0.00,0.82,0.8921568627,0.05882352941,0.04901960784,-23.07%,13.59%,9.48%,13.59%,Draw,STRONG PLAY,,1.53,66.15%,19.47%,14.38%,Brazil
32,32,Turkey,Paraguay,San Francisco Bay Area,Group Stage,81.8,75.3,6.5,1,0.5,0.5,0.11,-0.02,0.13,13,8,5,70.00,124.00,mild,mid_block_compact,mid_block_compact,0.00,0.00,0.00,direct_attacking,direct_attacking,0.00,NO,NO,0.00,0.71,0.431372549,0.2941176471,0.2745098039,8.17%,-1.36%,-6.81%,8.17%,Turkey,PLAY,,0.91,51.31%,28.05%,20.64%,Turkey
33,33,Netherlands,Sweden,Houston,Group Stage,89.6,71.3,18.3,2,1.5,0.5,1.32,-0.23,1.55,13,7,6,13.00,14.00,extreme,positional_play,direct_attacking,-6.00,-6.00,0.00,high_press_hybrid,mid_block_compact,1.00,NO,NO,0.75,0.95,0.5841584158,0.2376237624,0.1782178218,13.30%,0.75%,-14.05%,13.30%,Netherlands,STRONG PLAY,,2.95,71.72%,24.51%,3.77%,Netherlands
34,34,Germany,Côte d'Ivoire,Toronto,Group Stage,89.6,72.6,17,4,1,3,1.29,0.99,0.3,15,10,5,116.00,117.00,mild,gegenpressing,direct_attacking,0.00,0.00,0.00,positional_play,mid_block_compact,1.00,NO,NO,0.75,0.94,0.6237623762,0.2178217822,0.1584158416,8.10%,3.12%,-11.22%,8.10%,Germany,PLAY,,2.73,70.48%,24.90%,4.62%,Germany
35,35,Ecuador,South Africa,Kansas City,Group Stage,85.1,66.1,19,0.5,0,0.5,0.18,0.87,-0.69,7,9,-2,"2,782.00","1,753.00",moderate,high_press_hybrid,mid_block_compact,0.00,0.00,0.00,mid_block_compact,direct_attacking,2.00,NO,NO,1.50,0.91,0.801980198,0.1287128713,0.06930693069,-11.31%,11.43%,-0.12%,11.43%,Draw,PLAY,,2.31,68.89%,24.30%,6.81%,Ecuador
36,36,Tunisia,Japan,Monterrey,Group Stage,70.6,84.3,-13.7,0,2.5,-2.5,0.76,1.02,-0.26,8,13,-5,67.00,11.00,extreme,mid_block_compact,gegenpressing,-2.00,-6.00,-4.00,low_block_counter,mid_block_compact,0.00,NO,NO,0.00,0.00,0.18,0.27,0.55,-17.75%,-1.11%,18.86%,18.86%,Japan,STRONG PLAY,CHECK INPUTS,-5.69,0.25%,25.89%,73.86%,Japan
37,37,Spain,Saudi Arabia,Atlanta,Group Stage,100,64,36,2,0,2,2.03,0.46,1.57,13,9,4,667.00,620.00,high,positional_play,low_block_counter,0.00,0.00,0.00,vertical_tiki_taka,mid_block_compact,0.00,NO,NO,0.00,0.97,0.8725490196,0.08823529412,0.03921568627,-9.25%,10.38%,-1.13%,10.38%,Draw,PLAY,,3.33,78.01%,19.20%,2.79%,Spain
38,38,Belgium,IR Iran,Los Angeles,Group Stage,86.5,79,7.5,3.5,0,3.5,1.87,0.78,1.09,11,6,5,57.00,"1,270.00",mild,direct_attacking,low_block_counter,0.00,0.00,0.00,high_press_hybrid,mid_block_compact,1.00,NO,NO,0.75,0.92,0.69,0.19,0.12,-2.20%,8.75%,-6.55%,8.75%,Draw,PLAY,,2.51,66.80%,27.75%,5.45%,Belgium
39,39,Uruguay,Cabo Verde,Miami,Group Stage,84.8,64,20.8,1.5,-1,2.5,-0.22,0.55,-0.77,8,6,2,43.00,10.00,extreme,direct_attacking,low_block_counter,-2.00,-6.00,-4.00,mid_block_compact,direct_attacking,2.00,NO,NO,1.50,0.27,0.6732673267,0.2079207921,0.1188118812,-46.62%,2.97%,43.65%,43.65%,Cabo Verde,STRONG PLAY,CHECK INPUTS,-0.99,20.71%,23.76%,55.53%,Cabo Verde
40,40,New Zealand,Egypt,Vancouver,Group Stage,63.6,72.2,-8.6,0.5,-0.5,1,0,0.91,-0.91,3,8,-5,3.00,23.00,mild,mid_block_compact,low_block_counter,0.00,0.00,0.00,direct_attacking,mid_block_compact,-2.00,NO,NO,-1.50,0.07,0.2,0.25,0.55,-14.91%,2.42%,12.49%,12.49%,Egypt,STRONG PLAY,,-2.58,5.09%,27.42%,67.49%,Egypt
